VARIETY,YEAR,YIELD,RM,BAGSOLD
V114530,2014,3849.779954,2.7,45828617.54
V114538,2014,3545.623514,2.8,41965148.95
V114541,2014,3576.215026,2.9,42353729.72
V114545,2014,4134.517625,2.6,49445424.24
V114553,2014,7311.939196,2.5,89805800.82
V114556,2014,6908.471348,2.3,84680854.72
V114564,2014,3831.499486,2.8,45596414.62
V114565,2014,3871.470118,3,46104131.25
V114569,2014,3876.921471,2.6,46173375.65
V114585,2014,3707.73521,2.8,44024330.88
V114589,2014,4217.851189,3.1,50503947.31
V114649,2014,7023.870936,2.5,86146688.17
V114655,2014,7662.842092,2.5,94263054.2
V114676,2014,3989.80505,3.2,47607250.14
V114685,2014,4006.25353,3,47816182.71
V114688,2014,4095.208411,3.2,48946109.11
V140364,2014,3609.720022,2,42779318.27
V140393,2014,3407.306389,2.1,40208211.4
V140408,2014,3862.094418,2.7,45985038.84
V140432,2014,3343.746392,2.1,39400856.96
V151236,2014,3500.61447,2.2,41393433.2
V152300,2014,4125.72022,3.4,49333677.47
V152306,2014,4162.008141,3.2,49794615.42
V152312,2014,3809.520099,2.8,45317227.14
V152320,2014,4123.308896,3.1,49303048.26
V152322,2014,4225.877137,3.1,50605894.84
V152324,2014,4058.930601,3.5,48485299.59
V152325,2014,4064.512363,3.4,48556200.48
V152415,2014,4071.590942,3.5,48646114.3
V104000,2013,2696.683264,1.5,31181704.75
V113396,2013,4067.475811,3.9,48593842.92
V114530,2013,3688.084767,2.7,43774726.2
V114538,2013,3669.21961,2.8,43535096.41
V114541,2013,3870.459403,2.9,46091292.9
V114545,2013,3813.661699,2.6,45369834.74
V114553,2013,3862.970708,2.5,45996169.69
V114556,2013,3863.787073,2.3,46006539.35
V114564,2013,4077.463711,2.8,48720711.63
V114565,2013,3961.465752,3,47247277.54
V114569,2013,3906.183304,2.6,46545066.53
V114585,2013,4038.375763,2.8,48224207.08
V114589,2013,3932.791433,3.1,46883049.41
V114649,2013,3491.727696,2.5,41280551.24
V114655,2013,3901.920365,2.5,46490917.64
V114676,2013,3738.742191,3.2,44418189.04
V114685,2013,3884.341911,3,46267631.87
V114688,2013,3924.914483,3.2,46782994.48
V140364,2013,2626.24454,2,30286975.06
V140393,2013,3752.889237,2.1,44597888.24
V140408,2013,4106.326433,2.7,49087332.9
V140432,2013,3362.126637,2.1,39634327.27
V151161,2013,3304.845509,1.9,38906728.54
V151236,2013,3502.20928,2.2,41413690.86
V151273,2013,2968.621708,1.9,34635932.57
V151283,2013,2627.408715,1.8,30301762.69
V151284,2013,2709.040702,1.9,31338671.91
V152300,2013,3869.653596,3.4,46081057.34
V152306,2013,3859.998934,3.2,45958421.49
V152312,2013,3946.969706,2.8,47063145.26
V152320,2013,3920.779574,3.1,46730471.87
V152322,2013,3896.897269,3.1,46427113.07
V152324,2013,3902.187877,3.5,46494315.64
V152325,2013,3894.029139,3.4,46390681.38
V152334,2013,3946.120033,3.6,47052352.5
V152415,2013,3900.596933,3.5,46474107.09
V152440,2013,4113.531705,3.9,49178856.01
V114530,2012,730.9781109,2.7,6212842.907
V114538,2012,743.8400895,2.8,6376218.867
V114541,2012,824.0368216,2.9,7394897.137
V114545,2012,728.0817269,2.6,6176052.338
V114553,2012,665.2396546,2.5,5377817.15
V114556,2012,594.6723058,2.3,4481453.634
V114564,2012,784.5122898,2.8,6892846.984
V114565,2012,716.6689814,3,6031084.887
V114569,2012,701.5208845,2.6,5838670.1
V114585,2012,719.9733986,2.8,6073058.392
V114589,2012,775.756372,3.1,6781627.2
V114649,2012,578.947847,2.5,4281717.759
V114655,2012,430.578881,2.5,2397099.301
V114676,2012,636.225704,3.2,5009274.939
V114685,2012,580.8967128,3,4306472.723
V114688,2012,586.2289556,3.2,4374204.16
V140364,2012,718.0214102,2,6048263.764
V140393,2012,439.5588905,2.1,2511165.552
V140408,2012,587.5140235,2.7,4390527.403
V140432,2012,523.9448068,2.1,3583055.851
V151236,2012,498.1288042,2.2,3255134.748
V151283,2012,579.4403422,1.8,4287973.552
V152253,2012,1411.254783,3.7,14853881.57
V152300,2012,1293.766848,3.4,13361521.44
V152306,2012,1327.889248,3.2,13794952.4
V152312,2012,686.0602203,2.8,5642285.007
V152320,2012,711.1783726,3.1,5961341.847
V152322,2012,793.0882806,3.1,7001781.291
V152324,2012,668.4465245,3.5,5418551.587
V152325,2012,610.247172,3.4,4679289.348
V152334,2012,535.6267,3.6,3731442.082
V152415,2012,743.8284908,3.5,6376071.538
V152440,2012,597.6558279,3.9,4519351.053
