"YEAR","EXPERIMENT","LOCATION","VARIETY","FAMILY","CHECK","RM","REPNO","YIELD","CLASS_OF","GRAD","BAGSOLD","YieldperRM","CHECK_NUMERIC","CLASS_OF_","CLASS_OF_2011","CLASS_OF_2012","CLASS_OF_2013","CLASS_OF_2014","CHECK_TRUE","CHECK_FALSE","YEAR_2009","YEAR_2010","YEAR_2011","YEAR_2012","YEAR_2013","YEAR_2014"
"2009","09YT000395","1110","V148493","FAM07635","FALSE.",2.1,1,61.9242944,"2011","YES",61161,29.4877592380952,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","1110","V148493","FAM07635","FALSE.",2.1,2,66.9426311,"2011","YES",61161,31.8774433809524,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","1220","V148493","FAM07635","FALSE.",2.1,1,54.9561997,"2011","YES",61161,26.1696189047619,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","1220","V148493","FAM07635","FALSE.",2.1,2,55.1584321,"2011","YES",61161,26.265920047619,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","1241","V148493","FAM07635","FALSE.",2.1,1,50.4189084,"2011","YES",61161,24.009004,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","1241","V148493","FAM07635","FALSE.",2.1,2,52.7375917,"2011","YES",61161,25.1131389047619,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","1290","V148493","FAM07635","FALSE.",2.1,1,46.0781988,"2011","YES",61161,21.9419994285714,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","1290","V148493","FAM07635","FALSE.",2.1,2,42.6891709,"2011","YES",61161,20.3281766190476,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","2111","V148493","FAM07635","FALSE.",2.1,1,48.6864015,"2011","YES",61161,23.1840007142857,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","2111","V148493","FAM07635","FALSE.",2.1,2,51.675723,"2011","YES",61161,24.6074871428571,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","2220","V148493","FAM07635","FALSE.",2.1,1,41.5514652,"2011","YES",61161,19.786412,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","2220","V148493","FAM07635","FALSE.",2.1,2,48.8107149,"2011","YES",61161,23.2431975714286,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","2270","V148493","FAM07635","FALSE.",2.1,1,52.607925,"2011","YES",61161,25.0513928571429,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"2009","09YT000395","2270","V148493","FAM07635","FALSE.",2.1,2,52.273052,"2011","YES",61161,24.8919295238095,0,0,1,0,0,0,0,1,1,0,0,0,0,0
